REF_PERSONNE;RAISON_SOCIALE;MATRICULE_FISCALE;LIB_SECTEUR_ACTIVITE;LIB_ACTIVITE;VILLE;LIB_GOUVERNORAT;VILLE_GOUVERNORAT
12122;Societe_000001;0000001W;SERVICES PERSONNELS;ACTIVITêS THERMALES ET DE THALASSOTHêRAPIE;NULL;NULL; - 
12145;Societe_000002;0000002H;TRAVAIL DU BOIS ET FABRICATION D ARTICLES EN BOIS;FABRICATION D EMBALLAGES EN BOIS;NULL;NULL; - 
12169;societe_000003;0000003M;INTERMêDIATION FINANCI‘RE;CRêDIT BAIL;NULL;NULL; - 
12431;Societe_000004;0000004J;CONSTRUCTION;INSTALLATION D EAU ET DE GAZ;SFAX;NULL;SFAX - 
12711;Societe_000005;0000005F;TRAVAIL DU BOIS ET FABRICATION D ARTICLES EN BOIS;FABRICATION D EMBALLAGES EN BOIS;SFAX ;NULL;SFAX  - 
13028;Societe_000006;0000006A;INDUSTRIES ALIMENTAIRES;BISCOTTERIE, BISCUITERIE, P∂TISSERIE DE CONSERVATION;NULL;NULL; - 
13587;Societe_000007;0000007B;SERVICES PERSONNELS;BLANCHISSERIE TEINTURERIE DE DêTAIL;TUNIS BELVEDERE;NULL;TUNIS BELVEDERE - 
13718;Societe_000008;0000008L;AUTRES INDUSTRIES EXTRACTIVES;EXTRACTION DE CALCAIRE INDUSTRIEL, DE GYPSE ET DE CRAIE;Bardo (Le);NULL;Bardo (Le) - 
1183;Societe_000009;0000009V;AUCUN;NON DEFINI;;NULL; - 
6431;Societe_000010;0000010P;INTERMêDIATION FINANCI‘RE;BANQUES;NULL;NULL; - 
6958;Societe_000011;0000011Z;COMMERCE ET RêPARATION AUTOMOBILE;COMMERCE DE GROS D êQUIPEMENTS AUTOMOBILES;TUNIS BELVEDERE;NULL;TUNIS BELVEDERE - 
12068;Societe_000012;0000012R;SERVICES PERSONNELS;AUTRES SERVICES PERSONNELS;NULL;NULL; - 
16091;Societe_000013;0000013X;SANTê ET ACTION SOCIALE;PRATIQUE MêDICALE;NULL;NULL; - 
16167;Societe_000014;0000014D;H‚TELS ET RESTAURANTS;RESTAURATION DE TYPE RAPIDE; ;NULL;  - 
16575;Societe_000015;0000015R;AGRICULTURE, CHASSE, SERVICES ANNEXES;"CULTURE DE CêRêALES ; CULTURES INDUSTRIELLES";ras jebel ;NULL;ras jebel  - 
17177;Societe_000016;0000016K;INDUSTRIE CHIMIQUE;FABRICATION D AUTRES PRODUITS PHARMACEUTIQUES;Cite El Ghazala;NULL;Cite El Ghazala - 
18312;Societe_000017;0000017J;CONSTRUCTION;CONSTRUCTION DE B∂TIMENTS DIVERS;;NULL; - 
20296;Societe_000018;0000018Q;COMMERCE DE DêTAIL ET RêPARATION D ARTICLES DOMESTIQUES;AUTRES COMMERCES DE DêTAIL EN MAGASIN NON SPêCIALISê;NULL;NULL; - 
20452;Societe_000019;0000019Q;INDUSTRIE CHIMIQUE;FABRICATION D AUTRES PRODUITS CHIMIQUES INORGANIQUES DE BASE;SFAX ;NULL;SFAX  - 
21247;Societe_000020;0000020U;INDUSTRIES ALIMENTAIRES;FABRICATION D ALIMENTS ADAPTêS ∑ L ENFANT ET DIêTêTIQUES; ;NULL;  - 
21619;Societe_000021;0000021P;TRANSPORTS TERRESTRES;TRANSPORT DE VOYAGEURS PAR TAXIS;NULL;NULL; - 
24975;Societe_000022;0000022F;INDUSTRIES ALIMENTAIRES;AUTRES ACTIVITêS DE TRAVAIL DES GRAINS;KALAA EL KEBIRA;NULL;KALAA EL KEBIRA - 
26235;Societe_000023;0000023U;INDUSTRIES ALIMENTAIRES;FABRICATION DE LAIT LIQUIDE ET DE PRODUITS FRAIS;Tunis RP;NULL;Tunis RP - 
26461;Societe_000024;0000024T;INDUSTRIE DE L HABILLEMENT ET DES FOURRURES;FABRICATION D AUTRES V“TEMENTS ET ACCESSOIRES;NULL;NULL; - 
26572;Societe_000025;0000025R;AGRICULTURE, CHASSE, SERVICES ANNEXES;"CULTURE DE CêRêALES ; CULTURES INDUSTRIELLES";ZAGHOUAN;NULL;ZAGHOUAN - 
26680;Societe_000026;0000026X;INDUSTRIES ALIMENTAIRES;AUTRES ACTIVITêS DE TRAVAIL DES GRAINS; ;NULL;  - 
27240;Societe_000027;0000027Q;AGRICULTURE, CHASSE, SERVICES ANNEXES;"HORTICULTURE ; PêPINI‘RES";NULL;NULL; - 
27295;Societe_000028;0000028J;AGRICULTURE, CHASSE, SERVICES ANNEXES;êLEVAGE D OVINS, CAPRINS ET êQUIDêS;NULL;NULL; - 
27871;Societe_000029;0000029R;RECHERCHE ET DêVELOPPEMENT;RECHERCHE DêVELOPPEMENT EN SCIENCES HUMAINES ET SOCIALES;NULL;NULL; - 
28080;Societe_000030;0000030J;INDUSTRIE TEXTILE;ENNOBLISSEMENT TEXTILE;NULL;NULL; - 
28088;Societe_000031;0000031Q;AGRICULTURE, CHASSE, SERVICES ANNEXES;CHASSE;NULL;NULL; - 
29893;Societe_000032;0000032O;CONSTRUCTION;CONSTRUCTION DE MAISONS INDIVIDUELLES;NULL;NULL; - 
30029;Societe_000033;0000033M;FABRICATION D AUTRES PRODUITS MINêRAUX NON MêTALLIQUES;FABRICATION D APPAREILS SANITAIRES EN CêRAMIQUE; MONTPLAISR;NULL; MONTPLAISR - 
30702;Societe_000034;0000034H;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;AUTRES COMMERCES DE GROS;NULL;NULL; - 
41528;Societe_000035;0000035Z;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;AUTRES COMMERCES DE GROS; ;NULL;  - 
42419;Societe_000036;0000036Z;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;AUTRES COMMERCES DE GROS DE BIENS DE CONSOMMATION;NULL;NULL; - 
42635;Societe_000037;0000037M;COMMERCE DE DêTAIL ET RêPARATION D ARTICLES DOMESTIQUES;AUTRES COMMERCES DE DêTAIL EN MAGASIN NON SPêCIALISê;NULL;NULL; - 
42948;Societe_000038;0000038B;ACTIVITêS RêCRêATIVES, CULTURELLES ET SPORTIVES;AUTRES SPECTACLES;NULL;NULL; - 
43249;Societe_000039;0000039K;AGRICULTURE, CHASSE, SERVICES ANNEXES;"CULTURE DE CêRêALES ; CULTURES INDUSTRIELLES";NULL;NULL; - 
44180;Societe_000040;0000040G;SYLVICULTURE, EXPLOITATION FORESTI‘RE, SERVICES ANNEXES;EXPLOITATION FORESTI‘RE; ARIANA;NULL; ARIANA - 
44350;Societe_000041;0000041Y;CONSTRUCTION;TRAVAUX DE FINITION N.C.A.;NULL;NULL; - 
44849;Societe_000042;0000042C;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;AUTRES COMMERCES DE GROS DE BIENS DE CONSOMMATION;NULL;NULL; - 
45648;Societe_000043;0000043A;INTERMêDIATION FINANCI‘RE;BANQUES;SIDI BOULBABA GABES;NULL;SIDI BOULBABA GABES - 
46513;Societe_000044;0000044O;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;COMMERCE DE GROS DE MATêRIEL êLECTRIQUE ET êLECTRONIQUE;NULL;NULL; - 
47143;Societe_000045;0000045M;INDUSTRIES ALIMENTAIRES;PRODUCTION D AUTRES BOISSONS FERMENTêES;NULL;NULL; - 
47607;Societe_000046;0000046Q;ASSURANCE;ASSURANCE VIE ET CAPITALISATION;NULL;NULL; - 
33533;Societe_000047;0000047A;EXTRACTION DE HOUILLE, DE LIGNITE ET DE TOURBES;EXTRACTION ET AGGLOMêRATION DE LA HOUILLE; ;NULL;  - 
33850;Societe_000048;0000048K;INDUSTRIE DU PAPIER ET DU CARTON;FABRICATION D ARTICLES DE PAPETERIE; ;NULL;  - 
34123;Societe_000049;0000049S;P“CHE, AQUACULTURE;P“CHE;NULL;NULL; - 
35568;Societe_000050;0000050B;ADMINISTRATION PUBLIQUE;DêFENSE; TUNIS;NULL; TUNIS - 
35719;Societe_000051;0000051M;INDUSTRIE TEXTILE;FABRICATION DE LINGE DE MAISON ET D ARTICLES D AMEUBLEMENT;Kalaa Seghira;NULL;Kalaa Seghira - 
55601;Societe_000052;0000052S;AGENCES ET BUREAUX;AGENCES ET BUREAUX;TUNIS RP;NULL;TUNIS RP - 
61328;Societe_000053;0000053R;ACTIVITES IARD TARIFIABLES;QUINCAILLERIES (COMMERCE);;NULL; - 
62329;Societe_000054;0000054V;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;INTERMêDIAIRE DU COMMERCE EN BOIS ET MATêRIAUX DE CONSTRUCTION;NULL;NULL; - 
62472;Societe_000055;0000055U;ACTIVITêS RêCRêATIVES, CULTURELLES ET SPORTIVES;AUTRES ACTIVITêS SPORTIVES;NULL;NULL; - 
62563;Societe_000056;0000056G;INDUSTRIES ALIMENTAIRES;INDUSTRIES ALIMENTAIRES N.C.A.;EL MENZAH 8;NULL;EL MENZAH 8 - 
62768;Societe_000057;0000057P;INDUSTRIE TEXTILE;INDUSTRIES TEXTILES N.C.A.;NULL;NULL; - 
63269;Societe_000058;0000058B;EXTRACTION DE HOUILLE, DE LIGNITE ET DE TOURBES;EXTRACTION ET AGGLOMêRATION DE LA HOUILLE;NULL;NULL; - 
64933;Societe_000059;0000059P;POSTES ET TêLêCOMMUNICATIONS;TêLêCOMMUNICATIONS NATIONALES;NULL;NULL; - 
65682;Societe_000060;0000060E;CONSTRUCTION;TRAVAUX D INSTALLATION êLECTRIQUE;NULL;NULL; - 
67864;Societe_000061;0000061F;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;AUTRES INTERMêDIAIRES SPêCIALISêS DU COMMERCE;NULL;NULL; - 
67868;Societe_000062;0000062Y;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;AUTRES INTERMêDIAIRES SPêCIALISêS DU COMMERCE;NULL;NULL; - 
67871;Societe_000063;0000063R;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;INTERMêDIAIRES NON SPêCIALISêS DU COMMERCE;NULL;NULL; - 
67873;Societe_000064;0000064F;COMMERCE DE GROS ET INTERMêDIAIRES DU COMMERCE;INTERMêDIAIRES NON SPêCIALISêS DU COMMERCE;NULL;NULL; - 
67877;Societe_000065;0000065W;ACTIVITES IARD TARIFIABLES;ELECTRICITE (COMMERCE D ARTICLES D ECLAIRAGE);NULL;NULL; - 
66774;Societe_000066;0000066J;ACTIVITêS RêCRêATIVES, CULTURELLES ET SPORTIVES;AUTRES ACTIVITêS RêCRêATIVES;;NULL; - 
67458;Societe_000067;0000067P;SERVICES FOURNIS PRINCIPALEMENT AUX ENTREPRISES;ADMINISTRATION D ENTREPRISES;NULL;NULL; - 
67554;Societe_000068;0000068T;ACTIVITêS INFORMATIQUES;RêALISATION DE LOGICIELS;NULL;NULL; - 
69412;Societe_000069;0000069G;ACTIVITES IARD TARIFIABLES;HYGIENE (ETABLISSEMENT DE BAIN DOUCHE HAMMAM SAUNA);NULL;NULL; - 
70303;Societe_000070;0000070U;ACTIVITES IARD TARIFIABLES;IMPRIMERIE, TYPOGRAPHIES ET OFFSET;NULL;NULL; - 
71590;Societe_000071;0000071B;TRAVAIL DES MêTAUX;MêCANIQUE GêNêRALE;EL OUARDIA;NULL;EL OUARDIA - 
71860;Societe_000072;0000072S;CONSTRUCTION;TRAVAUX DE MAÄONNERIE GêNêRALE;NULL;NULL; - 
72502;Societe_000073;0000073A;INDUSTRIE TEXTILE;FABRICATION D AUTRES ARTICLES CONFECTIONNêS EN TEXTILE;NULL;NULL; - 
73417;Societe_000074;0000074C;ACTIVITES IARD TARIFIABLES;AGENCE ( DE VOYAGE,ASSURANCE,IMMOBILIERE);NULL;NULL; - 
73517;Societe_000075;0000075O;FABRICATION D AUTRES MATêRIELS DE TRANSPORT;CONSTRUCTION DE MOTEURS POUR AêRONEFS;NULL;NULL; - 
73775;Societe_000076;0000076W;INTERMêDIATION FINANCI‘RE;BANQUE CENTRALE;NULL;NULL; - 
73776;Societe_000077;0000077Q;INTERMêDIATION FINANCI‘RE;BANQUE CENTRALE; ;NULL;  - 
73777;Societe_000078;0000078D;INTERMêDIATION FINANCI‘RE;BANQUES;BORJ LOUZIR ARIANA;NULL;BORJ LOUZIR ARIANA - 
73781;Societe_000079;0000079D;INTERMêDIATION FINANCI‘RE;BANQUES;BEN AROUS;NULL;BEN AROUS - 
73782;Societe_000080;0000080K;INTERMêDIATION FINANCI‘RE;BANQUES;NULL;NULL; - 
74370;Societe_000081;0000081P;ACTIVITES IARD TARIFIABLES;ECOLES, COLLEGES, CENTRE DE FORMATION;NULL;NULL; - 
