NUM_SINISTRE;NUM_CONTRAT;LIB_BRANCHE;LIB_SOUS_BRANCHE;LIB_PRODUIT;NATURE_SINISTRE;LIB_TYPE_SINISTRE;TAUX_RESPONSABILITE;DATE_SURVENANCE;DATE_DECLARATION;DATE_OUVERTURE;OBSERVATION_SINISTRE;LIB_ETAT_SINISTRE;LIEU_ACCIDENT;MOTIF_REOUVERTURE;MONTANT_ENCAISSE;MONTANT_A_ENCAISSER
20033000932;2001300001063;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2003-10-28 00:00:00.000;2003-11-21 00:00:00.000;2003-12-09 00:00:00.000;;CLOTURE;;NULL;0;1951,687
20043000048;2002300001183;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2004-01-06 00:00:00.000;2004-01-14 00:00:00.000;2004-01-14 00:00:00.000;;CLOTURE;;NULL;0;200,24
20043000564;2003300002468;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2004-05-19 00:00:00.000;2004-06-15 00:00:00.000;2004-06-15 00:00:00.000;;CLOTURE;;NULL;0;299,903
20043000882;2003300000453;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;100;2004-09-07 00:00:00.000;2004-09-08 00:00:00.000;2004-09-08 00:00:00.000;EXCLUE DE LA GARANTIE;CLOTURE;;NULL;0;33,23
20043000915;2003300001137;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;100;2004-09-25 00:00:00.000;2004-09-27 00:00:00.000;2004-09-27 00:00:00.000;;CLOTURE;;NULL;0;68,679
20033000331;2001300000879;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2003-02-04 00:00:00.000;2003-05-08 00:00:00.000;2003-05-08 00:00:00.000;;CLOTURE;;NULL;0;120
20033000698;2001300000879;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE HORS IDA;100;2003-05-08 00:00:00.000;2003-05-08 00:00:00.000;2003-09-09 00:00:00.000;;CLOTURE;ROUTE DU PORT DE RADES;NULL;0;253,966
20023000011;2000300000568;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE HORS IDA;100;2002-01-02 00:00:00.000;2002-01-02 00:00:00.000;2002-01-09 00:00:00.000;;CLOTURE;AV TAIEB MHIRI    TUNIS;NULL;0;50
20023000055;2001300000861;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;100;2002-01-24 00:00:00.000;2002-01-29 00:00:00.000;2002-01-29 00:00:00.000;;CLOTURE;;NULL;0;2631,767
20023000103;2001300001021;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;0;2002-02-18 00:00:00.000;2002-02-21 00:00:00.000;2002-02-21 00:00:00.000;;CLOTURE;;NULL;0;319,577
20023000068;2000300000030;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2002-02-01 00:00:00.000;2002-02-04 00:00:00.000;2002-02-04 00:00:00.000;;CLOTURE;LA BARDO;NULL;0;2037,343
20013000057;2000300000121;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;100;2001-02-03 00:00:00.000;2001-02-09 00:00:00.000;2001-02-09 00:00:00.000;;CLOTURE;;NULL;0;36,94
20013000061;2000300001303;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2001-02-07 00:00:00.000;2001-02-13 00:00:00.000;2001-02-13 00:00:00.000;SANS FACTURES;CLOTURE;;NULL;0;24,442
20023000650;2001300001381;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;100;2002-09-18 00:00:00.000;2002-10-08 00:00:00.000;2002-10-08 00:00:00.000;;CLOTURE;IBN KHALDOUN;NULL;0;0
20023000825;2001300000233;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2002-01-07 00:00:00.000;2002-11-15 00:00:00.000;2002-11-15 00:00:00.000;;CLOTURE;;NULL;0;0
20023000809;2002300001002;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2002-10-04 00:00:00.000;2002-11-04 00:00:00.000;2002-11-20 00:00:00.000;;CLOTURE;ROUTE X DEVANT LA MAISON PEUGEOT;NULL;0;1147,725
20023000888;2002300001002;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2002-11-23 00:00:00.000;2002-12-09 00:00:00.000;2002-12-09 00:00:00.000;;CLOTURE;CITE EZZAYATINE;NULL;0;517,221
20023000953;2001300000861;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;100;2002-10-21 00:00:00.000;2002-10-23 00:00:00.000;2002-10-23 00:00:00.000;;CLOTURE;;NULL;0;323,009
20013000476;2000300001303;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2001-08-27 00:00:00.000;2001-10-09 00:00:00.000;2001-10-09 00:00:00.000;;CLOTURE;;NULL;0;1072,425
20003000067;2000300000121;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;0;2000-03-07 00:00:00.000;2000-03-09 00:00:00.000;2000-03-09 00:00:00.000;;CLOTURE;LAC PALACE;NULL;0;694,708
20013000667;2001300001381;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;100;2001-12-25 00:00:00.000;2001-12-27 00:00:00.000;2001-12-27 00:00:00.000;;CLOTURE;;NULL;0;47,849
20013000694;2001300000233;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2001-08-29 00:00:00.000;2001-08-30 00:00:00.000;2001-08-30 00:00:00.000;;CLOTURE;;NULL;0;112,445
20003000104;2001300000229;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE HORS IDA;100;2000-03-14 00:00:00.000;2000-04-13 00:00:00.000;2000-04-13 00:00:00.000;;CLOTURE;TGM                                         TUNIS;NULL;0;3167,514
20013000701;2001300000233;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2001-12-20 00:00:00.000;2001-12-22 00:00:00.000;2001-12-22 00:00:00.000;;CLOTURE;;NULL;0;58,801
20003000206;2001300000233;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2000-06-08 00:00:00.000;2000-06-19 00:00:00.000;2000-06-19 00:00:00.000;;CLOTURE;;NULL;0;427,172
20003000326;2000300000568;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2000-09-27 00:00:00.000;2000-09-30 00:00:00.000;2000-09-30 00:00:00.000;;CLOTURE;;NULL;0;270,847
20003000531;2000300000935;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2000-12-20 00:00:00.000;2002-12-24 00:00:00.000;2002-12-24 00:00:00.000;;CLOTURE;CITE EZZOUHOUR;NULL;0;345,027
20003000468;2000300000346;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2000-12-29 00:00:00.000;2001-01-09 00:00:00.000;2001-01-09 00:00:00.000;;CLOTURE;RUE BORJ BOURGUIBA;NULL;0;517,15
20053000365;2001300000879;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-02-28 00:00:00.000;2005-03-09 00:00:00.000;2005-03-28 00:00:00.000;;CLOTURE;SIDI RZIG;NULL;0;749,676
20033000379;2002300001183;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2003-05-08 00:00:00.000;2003-05-09 00:00:00.000;2003-05-20 00:00:00.000;;CLOTURE;;NULL;0;813,754
20033000419;2002300000326;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2003-05-30 00:00:00.000;2003-06-03 00:00:00.000;2003-06-06 00:00:00.000;;CLOTURE;AV AHMED TLILI MEGRINE;NULL;0;620,127
20033000484;2002300000816;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2003-07-18 00:00:00.000;2003-07-21 00:00:00.000;2003-07-21 00:00:00.000;;CLOTURE;;NULL;0;484,865
20033000495;2002300001183;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2003-07-01 00:00:00.000;2003-07-22 00:00:00.000;2003-07-22 00:00:00.000;;CLOTURE;RUE DE NABLOUS;NULL;0;545,751
20033000564;2001300001722;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2003-07-14 00:00:00.000;2003-07-15 00:00:00.000;2003-07-23 00:00:00.000;;CLOTURE;ARIANA;NULL;0;160,68
20043000118;2003300002468;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2004-01-31 00:00:00.000;2004-02-04 00:00:00.000;2004-02-17 00:00:00.000;;CLOTURE;AV MADRID TUNIS;NULL;0;479,851
20043000104;2004300000577;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS HORS IDA;0;2004-01-20 00:00:00.000;2004-01-24 00:00:00.000;2004-02-17 00:00:00.000;;CLOTURE;;NULL;0;2367,098
20053001689;2005301002036;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE HORS IDA;100;2005-07-18 00:00:00.000;2005-10-03 00:00:00.000;2005-10-03 00:00:00.000;;CLOTURE;HAMMAM-LIF;NULL;0;6343,288
20053001688;2005301007614;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;100;2005-08-18 00:00:00.000;2005-09-08 00:00:00.000;2005-10-03 00:00:00.000;* INCENDIE TOTAL;CLOTURE;;NULL;0;4293,5
20053001212;2005301002034;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-06-17 00:00:00.000;2005-06-22 00:00:00.000;2005-08-08 00:00:00.000;;CLOTURE;SFAX. SAKIET EZZIT;NULL;0;50
20053000615;2005301003361;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-05-30 00:00:00.000;2005-06-02 00:00:00.000;2005-06-06 00:00:00.000;;CLOTURE;PARKING DU CARFOUR LA MARSA;NULL;0;220
20053001473;2005301002036;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-08-20 00:00:00.000;2005-08-29 00:00:00.000;2005-08-31 00:00:00.000;;CLOTURE;RTE SALTANA . SFAX;NULL;0;325,009
20053001712;2005301007743;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-09-25 00:00:00.000;2005-09-27 00:00:00.000;2005-10-07 00:00:00.000;;CLOTURE;LA MARSA;NULL;0;136,4
20053001429;2005301005880;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-08-17 00:00:00.000;2005-08-25 00:00:00.000;2005-08-26 00:00:00.000;;CLOTURE;EL KANTAOUI;NULL;0;1099,764
20053002627;2005301005738;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-11-14 00:00:00.000;2005-11-30 00:00:00.000;2006-01-24 00:00:00.000;;CLOTURE;AV HABIB BOURGUIBA. MEDJEZ ELBEB;NULL;0;645,957
20053000340;2003300002239;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-02-24 00:00:00.000;2005-03-04 00:00:00.000;2005-03-28 00:00:00.000;;CLOTURE;AV 7 NOVEMBRE DENDEN;NULL;0;353,582
20053001216;2003300002239;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-05-17 00:00:00.000;2005-06-24 00:00:00.000;2005-08-08 00:00:00.000;;CLOTURE;MEGRINE;NULL;0;244,41
20053000939;2005301002669;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE HORS IDA;100;2005-06-15 00:00:00.000;2005-06-24 00:00:00.000;2005-06-27 00:00:00.000;;CLOTURE;AUTOROUTE SOUSSE;NULL;0;165
20053001111;2005301004833;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-07-07 00:00:00.000;2005-07-18 00:00:00.000;2005-07-29 00:00:00.000;;CLOTURE;TOZEUR;NULL;0;741,5
20053000739;2005301003971;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-05-02 00:00:00.000;2005-05-10 00:00:00.000;2005-06-09 00:00:00.000;;CLOTURE;BIZERTE;NULL;0;566,536
20053000836;2005301005729;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-05-04 00:00:00.000;2005-05-17 00:00:00.000;2005-06-13 00:00:00.000;;CLOTURE;BEJA;NULL;0;412,25
20053001125;2004300003360;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-07-08 00:00:00.000;2005-07-29 00:00:00.000;2005-08-01 00:00:00.000;;CLOTURE;KELIBIA;NULL;0;1238,846
20053000911;2005301006826;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-06-13 00:00:00.000;2005-06-16 00:00:00.000;2005-06-17 00:00:00.000;;CLOTURE;RUE DE KOWAIT;NULL;0;537,58
20053000946;2003300001137;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;RECOURS IDA;0;2005-06-16 00:00:00.000;2005-06-30 00:00:00.000;2005-06-30 00:00:00.000;;CLOTURE;ROND POINT ARIANA;NULL;0;440,482
20053002844;2005301004014;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-12-09 00:00:00.000;2006-01-06 00:00:00.000;2006-02-13 00:00:00.000;;CLOTURE;RAS DJEBAL BIZERTE;NULL;0;439,873
20053001308;2005301005985;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-08-01 00:00:00.000;2005-08-09 00:00:00.000;2005-08-15 00:00:00.000;;CLOTURE;BEJA;NULL;0;180,075
20053002341;2005301005724;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-10-25 00:00:00.000;2005-11-17 00:00:00.000;2006-01-04 00:00:00.000;;CLOTURE;;NULL;0;462,205
20053002595;2002300001177;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-11-23 00:00:00.000;2005-12-08 00:00:00.000;2006-01-23 00:00:00.000;;CLOTURE;TUNIS;NULL;0;1692,729
20053001852;2005301007634;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-09-02 00:00:00.000;2005-09-15 00:00:00.000;2005-10-14 00:00:00.000;;CLOTURE;BOUHCINA.  SOUSSE;NULL;0;1630,717
20063000141;2005301003954;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2006-01-12 00:00:00.000;2006-01-30 00:00:00.000;2006-03-03 00:00:00.000;;CLOTURE;;NULL;0;931,159
20053001300;2005301000876;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-06-22 00:00:00.000;2005-08-04 00:00:00.000;2005-08-15 00:00:00.000;;CLOTURE;TUNIS. MUTUELLE VILLE;NULL;0;525,14
20053001448;2005301002020;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2005-07-15 00:00:00.000;2005-08-26 00:00:00.000;2005-08-30 00:00:00.000;;CLOTURE;SFAX;NULL;0;50
20063001665;2006301003590;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;FACULTATIF;100;2006-07-06 00:00:00.000;2006-07-10 00:00:00.000;2006-08-14 00:00:00.000;;CLOTURE;SBITLA;NULL;0;6778,264
20003000395;2001300000861;AUTOMOBILE;AUTOMOBILE;AUTOMOBILE;MATERIEL;DEFENSE IDA;100;2000-04-30 00:00:00.000;2000-11-17 00:00:00.000;2000-11-17 00:00:00.000;;CLOTURE;AV MAGHREB EL ARABI ARIANA;NULL;0;0
